Rio de Janeiro,Brazil,South America,"10 Carros, Chefin, 4953202","Tenho Que Me Decidir, MC PH, 6289704","Let's Go 4, Dj GBR, 8222343","Loucura, Borges, 3801181","Me Leva Pra Casa, Lauana Prado, 7664636"
Salvador,Brazil,South America,"Let's Go 4, Dj GBR, 8222343","Tenho Que Me Decidir, MC PH, 6289704","10 Carros, Chefin, 4953202","Cama Repetida, Leo Santana, 3896941","Daqui pra Sempre, Manu, 5436593"
São Paulo,Brazil,South America,"Let's Go 4, Dj GBR, 8222343","Maria Mariah, JC NO BEAT, 0","Me Leva Pra Casa, Lauana Prado, 7664636","Tenho Que Me Decidir, MC PH, 6289704","Deja Vu, Luan Santana, 9144585"
Uberlândia,Brazil,South America,"Me Leva Pra Casa, Lauana Prado, 7664636","Maria Mariah, JC NO BEAT, 0","Deja Vu, Luan Santana, 9144585","Let's Go 4, Dj GBR, 8222343","Barulho Do Foguete, Zé Neto, 5628015"
Calgary,Canada,North America,"Lovin On Me, Jack Harlow, 1663795","Stick Season, Noah Kahan, 1479782","greedy, Tate McRae, 1249856","I Remember Everything, Zach Bryan, 1151584","Cruel Summer, Taylor Swift, 1007462"
Montreal,Canada,North America,"Lovin On Me, Jack Harlow, 1663795","greedy, Tate McRae, 1249856","Stick Season, Noah Kahan, 1479782","Lose Control, Teddy Swims, 898106","Paint The Town Red, Doja Cat, 919578"
Ottawa,Canada,North America,"Lovin On Me, Jack Harlow, 1663795","Stick Season, Noah Kahan, 1479782","greedy, Tate McRae, 1249856","I Remember Everything, Zach Bryan, 1151584","Last Night, Morgan Wallen, 908633"
Toronto,Canada,North America,"Lovin On Me, Jack Harlow, 1663795","greedy, Tate McRae, 1249856","Stick Season, Noah Kahan, 1479782","Cruel Summer, Taylor Swift, 1007462","Paint The Town Red, Doja Cat, 919578"
Vancouver,Canada,North America,"Lovin On Me, Jack Harlow, 1663795","Stick Season, Noah Kahan, 1479782","greedy, Tate McRae, 1249856","Cruel Summer, Taylor Swift, 1007462","I Remember Everything, Zach Bryan, 1151584"
Concepción,Chile,South America,"Princesita De..., Jere Klein, 3225260","Ando, Jere Klein, 2080932","X ESO BB, Jere Klein, 1888807","Daytona, Cris Mj, 1893420","¿Cuál Es Su Nombre?, Lucky Brown, 1541033"
Santiago ,Chile,South America,"Princesita De..., Jere Klein, 3225260","Ando, Jere Klein, 2080932","X ESO BB, Jere Klein, 1888807","Daytona, Cris Mj, 1893420","¿Cuál Es Su Nombre?, Lucky Brown, 1541033"
Bogotá,Colombia,South America,"Luna, Feid, 2498259","Perro negro, bad bunny, 1729841","Cual es esa, Feid, 1506198","Qlona, Karol G, 1261274","Según Quién, Maluma, 1189193"
Medellín,Colombia,South America,"Luna, Feid, 2498259","Perro negro, bad bunny, 1729841","Qlona, Karol G, 1261274","Cual es esa, Feid, 1506198","Amargura, Karol G, 1050060"
Santiago de Cali,Colombia,South America,"Luna, Feid, 2498259","Perro negro, bad bunny, 1729841","Cual es esa, Feid, 1506198","La diabla, Xavi, 1490474","Qlona, Karol G, 1261274"
San José,Costa Rica,North America,"Según Quién, Maluma, 290158","Perro negro, bad bunny, 280269","Luna, Feid, 307128","Primera Cita, Carin Leon, 235741","Qlona, Karol G, 223495"
